text,username,timestamp
"UPDATED: Average monthly bills for a bachelor in the UK (Birmingham July 2024)

Rent £700 (1 bed apartment)
Council Tax £110
Energy (gas/electric) £150
Water £40
TV license £15
Transportation £150
Wifi/mobile date £80
Groceries £300
Clothing £300
Entertainment £200

Total £2045",SK 🇬🇧🇬🇧,Sat Jul 06 09:31:56 +0000 2024
"Rent 
Council Tax 
Energy 
Water 
TV license 
Transportation 
Wifi/mobile 
Groceries 
Clothing 
Car insurance 
Car Finance 
Black tax 

If she can’t do 50/50, she’s not ready to support her man. 

Nigerian men also need a support system. 

Bills dey choke.",🎙OLUOMO OF DERBY 🇳🇬 🇬🇧,Mon Jan 22 16:31:54 +0000 2024
"Ghanaians in UK, what are the average monthly bills in your city?

Rent: £
Council Tax: £
Energy: £
Water: £
TV license: £
Transport: £
Wifi/data: £
Groceries: £
Clothing: £
Entertainment: £

https://t.co/uzD0BvLNXv",CediRates,Sun Aug 06 09:48:14 +0000 2023
"Rent - £990(Salford Quay)
Council Tax 
Energy - inclusive 
Water - inclusive
TV license - inclusive
Transportation - £50
Wifi/mobile date - £12
Groceries -£100
Clothing - £50(klarna spread)
Entertainment - £100",Peraisakop DaddyCoco,Thu Jul 20 10:41:38 +0000 2023
"Luton (Student )

Rent £550 (Bill inclusive )
Council Tax NA
Energy NA
Water NA
TV license NA
Transportation : £80 (to Work only)
Wifi/mobile data: £10
Groceries : £50
Clothing : £ 100 every 3 months 
Entertainment: prime £5",Educated Sallaf🌛,Tue Jul 18 11:22:45 +0000 2023
"Walsall

Rent. 575
Council Tax   140
Energy  100 to 240 depending on season
Water 12
TV license      I no dey watch tv
Transportation 100 to 200
Wifi/mobile date 40
Groceries       200
Clothing          lol
Entertainment lol
PS: flat with family",MAYOR OF THE SOUTH WEST,Mon Jul 17 21:19:43 +0000 2023
"Rent - 495
Council Tax - 0 
Energy - 0
Water - 0
TV license - 0 
Transportation - 61
Wifi/mobile date - 10
Groceries - 60
Clothing - 100
Entertainment - 50",Blackhole,Mon Jul 17 21:13:53 +0000 2023
"London 

Rent £800
Council Tax inc
Energy £35 
Water inc
TV license NA
Transportation £150
Wifi/mobile date Wi-Fi inc/ mobile data £60
Groceries £200
Clothing  £100
Entertainment £500",Magnificient Daddy PhD,Mon Jul 17 20:12:55 +0000 2023
"Rent : 650
Council Tax : 110
Energy : 120
Water : 50
TV license : NA
Transportation : 500
Wifi/mobile date : 42
Groceries : 200
Clothing : 200
Entertainment: 250",𝙰𝚍𝚎𝚝𝚘𝚕𝚊,Mon Jul 17 20:02:23 +0000 2023
"@NIUKCommunity Colchester

Rent 700
C/Tax 102
Energy 100
Water 30
TV license 0
Trans 120
Mobile 25
Groceries 300
Clothing 30
Entertainment 0 (I no dey comot)",Olajide,Mon Jul 17 19:31:42 +0000 2023
"@NIUKCommunity Guildford (Surrey)

Rent - £1600 (2bed)
Council tax  - £140
Energy - £240
Water - 56 (quarterly)
TV license ( what’s that)
Transportation (£250)
Wi-Fi / Data (£25 virgin media / £35 EE)
Groceries (£200)
Clothing (£200)
Entertainment (never budgeted )

Total -£2756",Walter White,Mon Jul 17 18:04:43 +0000 2023
"@NIUKCommunity London 

Rent £650
Council Tax inc
Energy £10 a month for summer 
Water inc
TV license NA
Transportation £120
Wifi/mobile date Wi-Fi inc/ mobile data £9
Groceries £150
Clothing once in 3 or 5month £250
Entertainment £100",January 26 ❤️,Mon Jul 17 18:03:55 +0000 2023
"@NIUKCommunity Kent: Rent £1,200 2bedroom
Council Tax £150
Energy £300
Water £50
TV license £25
Transportation £150
Wifi/mobile date £30
Groceries £400
Clothing £100
Entertainment £100",Akonuche,Mon Jul 17 17:11:35 +0000 2023
"@NIUKCommunity Rent— £450
Council Tax — £250
Energy— £350
Water— £250
TV license -£50
Transportation- £160
Wifi/mobile date— £40
Groceries— £250
Clothing —£100
Entertainment — £57",March 10,Mon Jul 17 17:05:52 +0000 2023
"@NIUKCommunity Birmingham 
Rent  £435  (studio)
Council Tax N/A
Energy £100
Water N/A
TV license N/A
Transportation Bus £55 
Wifi/mobile date £45 (2phones 1broadban)
Groceries £150
Clothing £80
Entertainment £100
Average £900 - £1000 monthly",Anuoluwaposimi,Mon Jul 17 16:53:19 +0000 2023
"Birmingham 
Rent  £435  (studio)
Council Tax N/A
Energy £100
Water N/A
TV license N/A
Transportation Bus £55 
Wifi/mobile date £45 (2phones 1broadban)
Groceries £150
Clothing £80
Entertainment £100
Average £900 - £1000 monthly",Anuoluwaposimi,Mon Jul 17 16:52:59 +0000 2023
"@NIUKCommunity Rent - 895
Council Tax - 0 
Energy - did £75 last month but on direct debit of £190
Water - bi monthly £150
TV license -0
Transportation - £90 for two people 
Wifi/mobile data -£26.50+ £6
Groceries -£500
Clothing -£100 or less
Entertainment-£30 or Less",Soft-Ajebo™ PHD,Mon Jul 17 16:02:12 +0000 2023
"London In Jesus Name:

Rent £1500 (2bd)
Council Tax (£150)
Energy (£100)
Water (£100)
TV license (£90)
Transportation (£90)
Wifi/mobile date (£90)
Groceries (£100)
Clothing (£50)
Entertainment (£100)

Don’t say anything, just RT and move… “ape mo’ra eni la n pe temidire”",Digital Marketing Analyst | DataFestAfrica2024,Mon Jul 17 15:57:02 +0000 2023
"Student 😂

Rent 368 (Bill inclusive )
Council Tax NA
Energy NA
Water NA
TV license NA
Transportation : Bike (school and work)
Wifi/mobile date : £25
Groceries : £60
Clothing : £ 100 every 3 months 
Entertainment: prime £5 and Netflix #1,200",Heritage,Mon Jul 17 15:55:31 +0000 2023
"Belfast NI

Rent     £350. 2bdrm shared  
Council Tax : n/a
Energy : £50
Water : n/a
TV license: n/a
Transportation work remotely: £20  
Wifi/mobile date :£65
Groceries : £200
Clothing : £200 not monthly though 
Entertainment: £70",Ozi,Mon Jul 17 14:32:37 +0000 2023
"UPDATED: Average monthly bills for a bachelor in the UK (Birmingham July 2024)

Rent £700 (1 bed apartment)
Council Tax £110
Energy (gas/electric) £150
Water £40
TV license £15
Transportation £150
Wifi/mobile date £80
Groceries £300
Clothing £300
Entertainment £200

Total £2045",SK 🇬🇧🇬🇧,Sat Jul 06 09:31:56 +0000 2024
"@NIUKCommunity Birmingham 
Rent  £435  (studio)
Council Tax N/A
Energy £100
Water N/A
TV license N/A
Transportation Bus £55 
Wifi/mobile date £45 (2phones 1broadban)
Groceries £150
Clothing £80
Entertainment £100
Average £900 - £1000 monthly",Anuoluwaposimi,Mon Jul 17 16:53:19 +0000 2023
"Birmingham 
Rent  £435  (studio)
Council Tax N/A
Energy £100
Water N/A
TV license N/A
Transportation Bus £55 
Wifi/mobile date £45 (2phones 1broadban)
Groceries £150
Clothing £80
Entertainment £100
Average £900 - £1000 monthly",Anuoluwaposimi,Mon Jul 17 16:52:59 +0000 2023
"@NIUKCommunity Dudley uk (15min drive to Birmingham)
Rent       £650  (2bed )
Council Tax  £110
Energy      £150
Water        £40
TV license  £15
Transportation £72 (to fill my tank twice a month)
Wifi/mobile date  £24 and £12
Groceries    £200 
Clothing   Not monthly 
Entertainment  £150",dare™️,Sun Jul 16 19:57:17 +0000 2023
"@NIUKCommunity Birmingham 
Rent 820 (3bed)
Council Tax: 140 - 170
Energy 165
Water : 35
TV license: nil
Transportation: 100
Wifi/mobile date : 95
Groceries: 500 (family of 4)
Clothing: 200
Entertainment: 100",Obiclayz,Sun Jul 16 12:32:36 +0000 2023
"Birmingham:

Rent: £975
Council Tax: £180
Energy: £100
Water: £28
TV license£ 0
Transportation: £200
Wifi/mobile date: £80 (my phone plus wifi at home)
Groceries: £250
Clothing: £300-£500
Entertainment: £200",nwamaka.,Sun Jul 16 11:58:37 +0000 2023
"Average monthly bills for a couple in the UK (Birmingham July 2023)

Rent £1000 (2 bed apartment)
Council Tax £124
Energy (gas/electric) £100
Water £40
TV license £15
Westmidlands Bus Pass  £55 x2 
Wifi 30
Mobile  £10 x2 
Groceries £300
Misc £200
Entertainment £200

Total £2139",🌍 A!,Sat Jul 15 17:59:08 +0000 2023
"UPDATED: Average monthly bills for a bachelor in the UK (Birmingham July 2023)

Rent £700 (1 bed apartment)
Council Tax £110
Energy (gas/electric) £100
Water £40
TV license £15
Transportation £150
Wifi/mobile date £60
Groceries £300
Clothing £300
Entertainment £200

Total £1975",SK 🇬🇧🇬🇧,Sat Jul 15 17:19:11 +0000 2023
"Average monthly bills for a bachelor in the UK (location Birmingham)

House rent £500 (1 bed apartment)
Council Tax £110
Energy (gas/electric) £70
Water £40
TV license £15
Transportation £110
Wifi £25
Mobile data £20
Groceries £200
Clothing £300
Miscellaneous £100

Total £1490",SK 🇬🇧🇬🇧,Wed Jun 22 22:34:58 +0000 2022
"@NIUKCommunity Coventry 

Rent - £1200 (3 bed) 
Council Tax - £110
Energy - £150 (Gas and Electric)
Water - £27
TV license - N/A
Transportation - £200 (fuel) 
Wifi/mobile date £44 (WiFi) £15 (mobile)
Groceries - £150
Clothing - £50
Entertainment - £100 

Total £2046 🥹",Kvng_fuad,Sun Jul 16 09:33:11 +0000 2023
"What is the average monthly bills in your city? 
Bristol 

Rent £700
Council Tax (NIL)
Energy NIL
Water NIL
TV license NIL
Transportation £150-200
Wifi/mobile date £20
Groceries £50-100
Clothing (depending on the month)
Baddies £100-200
Entertainment £50
Black Tax £200-300",AKIN’s 🇬🇧 🇳🇬,Mon Jul 17 13:31:03 +0000 2023
"@NIUKCommunity 3 bed Loughborough 

Rent -1000
Council Tax - 122
Energy - 250
Water -40
TV license - 23
Transportation - 150 (big family)
Wifi/mobile date - 28
Groceries - 350
Clothing - 100
Entertainment - 100",It is WELL,Sun Jul 16 08:54:38 +0000 2023
"@NIUKCommunity Manchester 

Rent -450(shared)
Council Tax (inclusive
Energy (inclusive 
Water  ( inclusive 
TV license  (none
Transportation ( 80 bus pass per month
Wifi/mobile date  (30p per month 
Groceries 60 
Clothing  once in 6months 
Entertainment none",mhzponesh,Mon Jul 17 07:52:55 +0000 2023
"@NIUKCommunity Oldham, Manchester
Rent - 2Bed £675 
Council Tax - £111
Energy - £180 - £200
Water - £22
TV license - £0
Transportation - £80(monthly bus pass)
Wifi/mobile date - £48(Broadband + 2 Mobile)
Groceries - £100 
Clothing - I never start
Entertainment - £38 per year (PS plus Sub)",Wale Blvck,Mon Jul 17 07:43:02 +0000 2023
"@NIUKCommunity Stockport, Manchester 

Bachelor

Rent: £900 (2 bd)
Council Tax: £124
Energy: (Gas &amp; Electric)£200
Water: none
TV license: £13.25
Transportation: £200
Wifi/mobile data: £55
Groceries: £200
Clothing: open
Entertainment: (Apple TV+, Netflix, Prime, Cinema): £70

Total: £1762.25",Eghosa,Sun Jul 16 13:08:26 +0000 2023
"Rent £800 (1 bed)
Council Tax £83
Energy £86 (Summer); £150 (Winter)
Water £38
TV license NA
Transportation £50 (bus)
Wifi/mobile date £19 (mobile); £36 (Wi-Fi)
Groceries £400
Clothing £200
Entertainment £200  

Location is Manchester",Oluwadamilola ❤️❤️,Sun Jul 16 10:32:13 +0000 2023
"@NIUKCommunity DUNDEE

Rent £450
Council tax £133
Energy £150
Water £0
TV license £0
Transportation £65
Mobile data £10 (sim contract)
Groceries about £120
Entertainment £16",Amidat Temilade Kareem,Sun Jul 16 12:02:24 +0000 2023
"Nigerians in the UK. 

What is the average monthly bills in your city?

City - Glasgow

Rent - 600
Council Tax - 0
Energy/Gas- 200
Water - part of council tax
TV license - 0
Transportation - 200
Wifi/mobile date - 25
Groceries - 200
Clothing - not every time 
Entertainment - 0",Cyber 🇳🇬,Mon Jul 17 12:30:52 +0000 2023
"@NIUKCommunity Glasgow
Rent- £316 Two Bedroom
Council Tax- £111 monthly 
Energy- £140 (From August 5, it will be £93)
Water- £0
TV license- £0
Transportation- £150
Wifi/mobile data- £39/£50
Groceries- £200
Clothing- £100
Entertainment- £100
TV, Gas Cooker, Washing Machine Insurance-£13",JA,Mon Jul 17 04:55:32 +0000 2023
"Glasgow 

Rent 2bedroom £750
Council tax £177
Energy and water bills £143
TV license £15
Transportation £100
WiFi+mobile data £30
Groceries (family of 4) £350
Clothing £100
Entertainment £80
Black tax £500",Kunle,Sun Jul 16 20:38:58 +0000 2023
"@NIUKCommunity Rent   520.   1 bed.  Glasgow 
Council Tax 
Energy  103
Water   Free. 
TV license 15
Transportation  90
Wifi/mobile date 43
Groceries    141-188
Clothing    Once in 4 months 
Entertainment.  28",H7🥇(EkitiBoy),Sun Jul 16 19:01:18 +0000 2023
"@NIUKCommunity Glasgow 

Rent 2bedroom £750
Council tax £177
Energy and water bills £143
TV license £15
Transportation £100
WiFi+mobile data £30
Groceries (family of 4) £350
Clothing £100
Entertainment £80",Kunle,Sun Jul 16 13:53:11 +0000 2023
"London 

Rent £800
Council Tax inc
Energy £35 
Water inc
TV license NA
Transportation £150
Wifi/mobile date Wi-Fi inc/ mobile data £60
Groceries £200
Clothing  £100
Entertainment £500",Magnificient Daddy PhD,Mon Jul 17 20:12:55 +0000 2023
